time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1941,-0.016592,-0.008296,1.039928,0.560000,-0.840000,0.840000
2002,-0.016104,-0.009272,1.037000,0.490000,-0.840000,0.700000
2064,-0.016592,-0.010736,1.039928,0.490000,-0.700000,0.840000
2125,-0.014640,-0.007808,1.040416,0.210000,-0.770000,0.630000
2185,-0.016104,-0.008784,1.039440,0.350000,-0.840000,0.770000
2247,-0.015616,-0.010248,1.038464,0.490000,-0.700000,0.910000
2308,-0.017080,-0.007320,1.042856,0.420000,-0.840000,0.630000
2370,-0.017080,-0.007808,1.040416,0.630000,-0.840000,0.700000
2444,-0.014152,-0.007320,1.038952,0.350000,-0.770000,0.770000
2506,-0.015128,-0.008784,1.038952,0.420000,-0.770000,0.700000
2568,-0.016104,-0.006344,1.040416,0.420000,-0.840000,0.770000
2629,-0.014640,-0.008784,1.038464,0.770000,-0.840000,0.910000
2690,-0.015128,-0.006344,1.039440,0.560000,-0.490000,0.770000
2751,-0.016104,-0.009272,1.037976,-0.070000,-0.700000,0.490000
2813,-0.014640,-0.008784,1.038952,0.840000,-0.840000,0.980000
2875,-0.014152,-0.006832,1.041392,0.420000,-0.840000,0.840000
2949,-0.014640,-0.003416,1.040416,0.280000,-0.700000,0.700000
3010,-0.017080,-0.007808,1.037488,0.490000,-0.910000,0.770000
3071,-0.017080,-0.007320,1.037976,0.420000,-0.770000,0.770000
3132,-0.013664,-0.007320,1.038464,0.420000,-0.840000,0.700000
3196,-0.015616,-0.007808,1.037976,0.560000,-0.910000,0.770000
3257,-0.014152,-0.007320,1.040416,0.280000,-0.770000,0.630000
3319,-0.016592,-0.008296,1.038952,0.560000,-0.840000,0.840000
3380,-0.016592,-0.008296,1.038464,0.420000,-0.770000,0.840000
3454,-0.014640,-0.008784,1.041392,0.280000,-0.770000,0.630000
3515,-0.018056,-0.006832,1.039440,0.420000,-0.770000,0.770000
3577,-0.015128,-0.009272,1.040416,0.490000,-0.840000,0.700000
3639,-0.014152,-0.005368,1.037976,0.560000,-0.840000,0.840000
3700,-0.015128,-0.006344,1.038952,0.070000,-0.770000,0.630000
3762,-0.013664,-0.009760,1.037488,0.560000,-0.770000,0.770000
3824,-0.016104,-0.006832,1.039928,0.420000,-0.840000,0.840000
3887,-0.014152,-0.007808,1.041392,0.420000,-0.840000,0.770000
3961,-0.015616,-0.004392,1.040416,0.560000,-0.840000,0.840000
4023,-0.015616,-0.005368,1.042368,0.560000,-0.770000,0.910000
4084,-0.016104,-0.007808,1.039928,0.630000,-0.910000,0.840000
4146,-0.015128,-0.006832,1.040416,0.560000,-0.840000,0.700000
4207,-0.015616,-0.007808,1.042368,0.420000,-0.840000,0.630000
4268,-0.017080,-0.007320,1.039928,0.490000,-0.700000,0.770000
4329,-0.016104,-0.007320,1.040904,0.560000,-0.700000,0.840000
4391,-0.014640,-0.007808,1.037976,0.420000,-0.770000,0.770000
4465,-0.014640,-0.006344,1.040904,0.350000,-0.770000,0.700000
4526,-0.015128,-0.008296,1.040904,0.280000,-0.700000,0.700000
4588,-0.016104,-0.008296,1.040416,0.350000,-0.770000,0.770000
4649,-0.015128,-0.007808,1.040416,0.560000,-0.840000,0.770000
4713,-0.014152,-0.007808,1.039928,0.350000,-0.770000,0.840000
4774,-0.014152,-0.006344,1.039440,0.350000,-0.770000,0.700000
4837,-0.015128,-0.008784,1.041880,0.350000,-0.770000,0.700000
4898,-0.016592,-0.006344,1.041392,0.210000,-0.770000,0.700000
4959,-0.014152,-0.008296,1.039928,0.560000,-0.840000,0.840000
5033,-0.015616,-0.007320,1.040904,0.210000,-0.700000,0.770000
5094,-0.017080,-0.006344,1.040904,0.630000,-0.770000,0.770000
5155,-0.013176,-0.004880,1.040904,0.420000,-0.770000,0.630000
5216,-0.018056,-0.006832,1.037488,0.350000,-0.770000,0.700000
5277,-0.017568,-0.008784,1.040904,0.560000,-0.770000,0.840000
5338,-0.015128,-0.005368,1.039440,0.490000,-0.770000,0.770000
5400,-0.016592,-0.007808,1.040904,0.490000,-0.840000,0.700000
5461,-0.014152,-0.008296,1.040416,0.350000,-0.770000,0.770000
5535,-0.014640,-0.008296,1.040904,0.490000,-0.840000,0.770000
5596,-0.015616,-0.007320,1.040416,0.420000,-0.840000,0.700000
5657,-0.013664,-0.008296,1.039440,0.420000,-0.840000,0.840000
5718,-0.014640,-0.006832,1.040416,0.350000,-0.770000,0.700000
5779,-0.015128,-0.008784,1.038952,0.560000,-0.700000,0.770000
5840,-0.018544,-0.009272,1.040416,0.420000,-0.840000,0.840000
5901,-0.015616,-0.007808,1.041392,0.420000,-0.700000,0.700000
5963,-0.017568,-0.008296,1.041880,0.350000,-0.700000,0.700000
6037,-0.015616,-0.007808,1.038464,0.420000,-0.840000,0.770000
6098,-0.015128,-0.009760,1.040416,0.350000,-0.770000,0.770000
6159,-0.014640,-0.005856,1.040904,0.420000,-0.770000,0.700000
6221,-0.014640,-0.007808,1.039928,0.490000,-0.700000,0.700000
6282,-0.013664,-0.005856,1.040904,0.490000,-0.770000,0.840000
6344,-0.017080,-0.006344,1.038952,0.350000,-0.770000,0.700000
6405,-0.015128,-0.007320,1.041392,0.280000,-0.770000,0.770000
6467,-0.016592,-0.006832,1.042368,0.420000,-0.840000,0.770000
6541,-0.014152,-0.008296,1.041392,0.350000,-0.840000,0.770000
6602,-0.016104,-0.006344,1.041880,0.350000,-0.700000,0.770000
6664,-0.015128,-0.006832,1.042368,0.420000,-0.840000,0.770000
6725,-0.015128,-0.006832,1.041880,0.350000,-0.770000,0.770000
6787,-0.016104,-0.005368,1.040904,0.490000,-0.770000,0.840000
6848,-0.014152,-0.005856,1.041880,0.420000,-0.700000,0.770000
6911,-0.015128,-0.006344,1.044320,0.280000,-0.770000,0.700000
6972,-0.014640,-0.007320,1.043832,0.350000,-0.770000,0.910000
7047,-0.016104,-0.004880,1.041392,0.420000,-0.840000,0.770000
7108,-0.013664,-0.008296,1.042856,0.350000,-0.630000,0.700000
7171,-0.016104,-0.008296,1.040416,0.420000,-0.840000,0.700000
7233,-0.015616,-0.005368,1.038952,0.490000,-0.700000,0.840000
7294,-0.015616,-0.005856,1.041392,0.490000,-0.700000,0.840000
7355,-0.012688,-0.005368,1.042368,0.490000,-0.840000,0.700000
7417,-0.015128,-0.007808,1.043832,0.490000,-0.840000,0.840000
7479,-0.015616,-0.006344,1.040904,0.350000,-0.700000,0.700000
7553,-0.017080,-0.007808,1.038952,0.420000,-0.770000,0.700000
7616,-0.013176,-0.007808,1.041392,0.560000,-0.770000,0.770000
7678,-0.013664,-0.006344,1.043344,0.350000,-0.700000,0.770000
