time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1429,-1.016992,0.002928,0.028304,0.000000,0.350000,0.910000
1513,-1.018456,0.010736,-0.006832,0.350000,0.910000,0.770000
1563,-1.017968,0.009760,-0.014640,0.700000,-1.190000,0.910000
1613,-1.018456,0.008296,0.018544,0.420000,0.000000,0.700000
1667,-1.018944,0.004880,-0.010248,0.910000,2.030000,0.770000
1719,-1.016504,0.006832,-0.033184,1.260000,-3.640000,0.980000
1769,-1.016992,0.008296,0.002440,1.190000,-4.060000,0.700000
1819,-1.014552,0.006832,-0.016104,0.980000,-4.480000,0.770000
1869,-1.013576,0.008784,0.033184,0.420000,-3.010000,0.980000
1919,-1.006744,0.007808,0.003416,0.000000,-0.490000,0.490000
1969,-0.999912,-0.003416,-0.031720,0.140000,0.350000,0.700000
2021,-1.011624,0.007808,0.000976,0.770000,-5.950000,0.910000
2071,-1.015528,0.007808,0.011224,0.210000,0.210000,0.630000
2121,-1.017480,0.008784,0.000000,0.980000,-4.340000,0.630000
2171,-1.021384,0.002928,0.007808,0.910000,-3.780000,0.770000
2221,-1.014064,0.006344,0.035624,1.190000,-1.680000,0.770000
2272,-1.013576,0.009760,-0.000976,0.700000,-0.980000,0.700000
2322,-1.019920,0.006344,0.030256,0.350000,0.840000,0.560000
2372,-1.016016,0.009272,-0.010248,1.400000,0.560000,0.910000
2422,-1.010648,0.005368,-0.010736,2.380000,-4.340000,0.770000
2495,-1.018944,0.008784,0.036112,2.380000,-0.700000,0.910000
2545,-1.016992,0.015128,0.009272,0.980000,0.490000,0.560000
2595,-1.016992,0.005856,0.010736,0.210000,-0.420000,0.630000
2645,-1.018944,0.005368,0.016592,-0.070000,1.400000,0.770000
2695,-1.013576,0.012688,-0.005856,0.420000,-1.820000,0.840000
2745,-1.018456,0.003904,0.027816,0.630000,-0.630000,0.630000
2795,-1.016992,0.004880,0.015128,0.210000,0.420000,0.910000
2845,-1.016504,0.008784,0.002440,0.280000,-0.420000,0.770000
2896,-1.021872,0.002928,0.026352,0.420000,-1.120000,0.770000
2946,-1.015040,0.008784,-0.004392,0.770000,-0.980000,0.840000
2996,-1.018456,0.006344,0.023912,0.560000,-2.240000,0.700000
3046,-1.020896,-0.000488,0.028304,0.560000,-0.140000,0.840000
3096,-1.014064,0.008296,0.002928,0.350000,-0.420000,0.770000
3147,-1.017480,0.012688,0.019032,0.770000,-1.610000,0.700000
3197,-1.018944,-0.000488,0.015616,0.210000,0.980000,0.770000
3247,-1.019432,0.011712,0.017080,0.980000,-3.220000,1.050000
3297,-1.018944,0.005856,0.013176,0.070000,1.610000,0.770000
3347,-1.021872,-0.001464,0.024888,0.210000,-1.330000,1.050000
3397,-1.016992,0.007320,-0.006832,0.560000,-1.260000,0.840000
3504,-1.016016,0.003904,0.018544,0.910000,-0.630000,0.910000
3554,-1.011624,0.017080,0.016104,0.420000,0.560000,0.700000
3604,-1.018456,0.001952,0.004392,-0.210000,-1.260000,0.630000
3657,-1.025288,0.006832,0.012200,0.280000,0.070000,0.910000
3707,-1.017968,0.007320,0.030744,0.840000,-0.980000,0.770000
3757,-1.018944,0.005856,-0.003904,0.070000,-0.630000,0.700000
3807,-1.017480,0.007808,0.021960,0.770000,-1.190000,0.910000
3857,-1.019432,0.012688,0.003904,0.700000,-2.800000,0.560000
3907,-1.016016,0.004392,0.036600,0.770000,0.560000,0.700000
3957,-1.016992,0.006344,0.012200,0.350000,-1.470000,0.840000
4007,-1.010160,0.007320,0.016104,0.630000,-0.140000,0.770000
4057,-1.018944,0.015128,0.031720,0.350000,0.280000,0.700000
4107,-1.018944,0.011224,-0.018056,0.350000,-1.680000,0.770000
